"bin","tree_in_bin","prop1"
"65-70%",16,0.6875
"45-50%",17,0.46875
"65-70%",17,0.6875
"45-50%",18,0.46875
"65-70%",18,0.65625
"70-75%",12,0.71875
"65-70%",19,0.65625
"45-50%",19,0.46875
"95-100%",6,0.96875
"60-65%",10,0.625
"60-65%",11,0.625
"95-100%",7,0.96875
"60-65%",12,0.625
"80-85%",13,0.8125
"45-50%",20,0.46875
"85-90%",4,0.875
"80-85%",14,0.8125
"65-70%",20,0.65625
"95-100%",8,0.96875
"60-65%",13,0.625
"80-85%",15,0.8125
"80-85%",16,0.84375
"60-65%",14,0.625
"80-85%",17,0.8125
"60-65%",15,0.625
"70-75%",13,0.71875
"60-65%",16,0.625
"70-75%",14,0.71875
"80-85%",18,0.8125
"80-85%",19,0.8125
"95-100%",9,0.96875
"60-65%",17,0.625
"85-90%",5,0.875
"60-65%",18,0.625
"60-65%",19,0.625
"80-85%",20,0.84375
"85-90%",6,0.875
"60-65%",20,0.625
"95-100%",10,0.96875
"70-75%",15,0.71875
"85-90%",7,0.875
"85-90%",8,0.875
"70-75%",16,0.71875
"70-75%",17,0.71875
"70-75%",18,0.71875
"95-100%",11,0.96875
"70-75%",19,0.71875
"70-75%",20,0.71875
"85-90%",9,0.875
"95-100%",12,0.96875
"85-90%",10,0.875
"85-90%",11,0.875
"85-90%",12,0.875
"85-90%",13,0.875
"85-90%",14,0.875
"85-90%",15,0.875
"95-100%",13,0.96875
"85-90%",16,0.875
"85-90%",17,0.875
"95-100%",14,0.96875
"85-90%",18,0.875
"85-90%",19,0.875
"85-90%",20,0.875
"95-100%",15,0.96875
"95-100%",16,0.96875
"95-100%",17,0.96875
"95-100%",18,0.96875
"95-100%",19,0.96875
"95-100%",20,0.96875
