"bin","tree_id","tree_in_bin","prop1","k","mean_mast","mean_coph","mean_preserved_cherries"
"05-10%",9,4,0.09375,16,18.1333333333333,-0.0144268862910641,0.266666666666667
"05-10%",9,4,0.09375,17,18.2666666666667,-0.00396146519042803,0.333333333333333
"05-10%",9,4,0.09375,18,18.6666666666667,0.00638039451090878,0.2
"05-10%",9,4,0.09375,19,19.1333333333333,0.0294086665113035,0.2
"05-10%",9,4,0.09375,20,20.2666666666667,0.0413326470015281,0.666666666666667
"05-10%",9,4,0.09375,21,20.9333333333333,0.0585012728070321,0.466666666666667
"05-10%",9,4,0.09375,22,21.8666666666667,0.0797747082183258,0.733333333333333
"05-10%",9,4,0.09375,23,23.2,0.105172749358831,0.933333333333333
"05-10%",9,4,0.09375,24,23.8,0.210632354576759,0.4
"05-10%",9,4,0.09375,25,24.7333333333333,0.249233803517816,0.6
"05-10%",9,4,0.09375,26,25.7333333333333,0.312707884356999,0.6
"05-10%",9,4,0.09375,27,26.7333333333333,0.400502196915249,0.666666666666667
"05-10%",9,4,0.09375,28,27.8,0.454592921487557,0.8
"05-10%",9,4,0.09375,29,28.8,0.581794904765318,0.8
"05-10%",9,4,0.09375,30,30,0.66512994868744,1
"05-10%",9,4,0.09375,31,31,0.81434193974604,1
"05-10%",9,4,0.09375,32,32,1,2
"05-10%",13,5,0.0625,1,30.8,0.766158850398053,1.26666666666667
"05-10%",13,5,0.0625,2,29.8,0.603628176642096,0.866666666666667
"05-10%",13,5,0.0625,3,28.7333333333333,0.498702610581914,0.733333333333333
"05-10%",13,5,0.0625,4,27.8666666666667,0.405451146045485,0.933333333333333
"05-10%",13,5,0.0625,5,26.6666666666667,0.36542675041725,0.666666666666667
"05-10%",13,5,0.0625,6,25.8666666666667,0.231716204224335,0.8
"05-10%",13,5,0.0625,7,24.6666666666667,0.19657540280606,0.533333333333333
"05-10%",13,5,0.0625,8,23.5333333333333,0.156752869986016,0.466666666666667
"05-10%",13,5,0.0625,9,22.6666666666667,0.120032089093852,0.6
"05-10%",13,5,0.0625,10,21.4666666666667,0.0923313347216443,0.4
"05-10%",13,5,0.0625,11,20.6,0.0553255226468071,0.333333333333333
"05-10%",13,5,0.0625,12,20.3333333333333,0.0314349092507744,0.6
"05-10%",13,5,0.0625,13,19.2,0.0202325805930292,0.466666666666667
"05-10%",13,5,0.0625,14,18,0.00568004664687517,0.0666666666666667
"05-10%",13,5,0.0625,15,18.0666666666667,-0.00601981545496754,0.133333333333333
"05-10%",13,5,0.0625,16,17.2666666666667,-0.00991934518577459,0.133333333333333
"05-10%",13,5,0.0625,17,17.8,-0.0134628434309917,0.333333333333333
"05-10%",13,5,0.0625,18,18.0666666666667,0.00196088531150628,0.333333333333333
