"bin","k","cor_mast_cherries"
"65-70%",1,0.346403224508758
"65-70%",2,0.190248956473958
"65-70%",3,0.300735899259556
"65-70%",4,0.363049016508409
"65-70%",5,0.614380099336048
"65-70%",6,0.431837926359488
"65-70%",7,0.653601704916168
"65-70%",8,0.471756527647574
"65-70%",9,0.80797250410693
"65-70%",10,0.845548732217148
"65-70%",11,0.775992418234725
"65-70%",12,0.753266021431145
"65-70%",13,0.78127531616273
"65-70%",14,0.845072502016243
"65-70%",15,0.788025577756366
"65-70%",16,0.788619027478372
"65-70%",17,0.85329417061914
"65-70%",18,0.891992119267584
"65-70%",19,0.864534003394421
"65-70%",20,0.859919702115991
"65-70%",21,0.71859100333846
"65-70%",22,0.719287973319225
"65-70%",23,0.67223070345563
"65-70%",24,0.769610039317288
"65-70%",25,0.236499380565182
"65-70%",26,0.358970169669907
"65-70%",27,0.734578207881978
"65-70%",28,0.210376231804744
"65-70%",29,0.162158440505959
"65-70%",30,0.64658151677886
"65-70%",31,0.4794011306311
"65-70%",32,NA
"70-75%",1,0.270355985693766
"70-75%",2,0.286673923838777
"70-75%",3,0.392086392262194
"70-75%",4,0.505496568847223
"70-75%",5,0.254164155615261
"70-75%",6,0.397269297664776
"70-75%",7,0.610149368311653
"70-75%",8,0.649285166067928
"70-75%",9,0.646663775610893
"70-75%",10,0.136174352992801
"70-75%",11,0.763919850045134
"70-75%",12,0.68364611331141
"70-75%",13,0.804909876933173
"70-75%",14,0.856479485588125
"70-75%",15,0.844586829316263
"70-75%",16,0.800396593796552
"70-75%",17,0.879595731041319
"70-75%",18,0.770162095227657
"70-75%",19,0.83177171893618
"70-75%",20,0.658861123857486
"70-75%",21,0.627926414969411
"70-75%",22,0.628356975024698
"70-75%",23,0.80970428901744
"70-75%",24,0.109339399041425
"70-75%",25,0.425684088014711
"70-75%",26,0.1622191806411
"70-75%",27,0.241619019263564
"70-75%",28,0.00597849058593297
"70-75%",29,0.308915408714038
"70-75%",30,0.585424617016152
"70-75%",31,0.295166111076883
"70-75%",32,NA
"75-80%",1,0.178626378332393
"75-80%",2,0.334718907579054
"75-80%",3,0.24092842036592
"75-80%",4,0.329800082702272
"75-80%",5,0.105222751674719
"75-80%",6,0.242430237062309
"75-80%",7,0.362595709250674
"75-80%",8,0.696760191707937
"75-80%",9,0.362469978159012
"75-80%",10,0.477144594301338
"75-80%",11,0.781789986083038
"75-80%",12,0.717111851747766
"75-80%",13,0.812565205354483
"75-80%",14,0.791055734941617
"75-80%",15,0.79836895921098
"75-80%",16,0.814671614391047
"75-80%",17,0.778595286896404
"75-80%",18,0.790907797057338
"75-80%",19,0.76234984270548
"75-80%",20,0.876601638804496
"75-80%",21,0.781316982541613
"75-80%",22,0.534662465472489
"75-80%",23,0.53988376400582
"75-80%",24,0.386942610903144
"75-80%",25,0.381910471341968
"75-80%",26,0.400307470385105
"75-80%",27,0.470420635670403
"75-80%",28,0.291210757686385
"75-80%",29,0.395004813255476
"75-80%",30,0.259677061544868
"75-80%",31,0.254786963641241
"75-80%",32,NA
"80-85%",1,0.142518947381696
"80-85%",2,0.369974756038162
"80-85%",3,0.484085250553959
"80-85%",4,0.432021023097983
"80-85%",5,0.647952241377615
"80-85%",6,0.715259423782531
"80-85%",7,0.565756221026001
"80-85%",8,0.297269117349668
"80-85%",9,0.708809671383765
"80-85%",10,0.730792318794175
"80-85%",11,0.822479395103881
"80-85%",12,0.81910135617998
"80-85%",13,0.701923094221177
"80-85%",14,0.886662029209107
"80-85%",15,0.776396880690314
"80-85%",16,0.865179549355459
"80-85%",17,0.882324580223758
"80-85%",18,0.821007068744511
"80-85%",19,0.835219808473679
"80-85%",20,0.830125488715981
"80-85%",21,0.760005692324315
"80-85%",22,0.884453702705933
"80-85%",23,0.764080275654814
"80-85%",24,0.762395543526057
"80-85%",25,0.619091004384467
"80-85%",26,0.324796798119533
"80-85%",27,0.580831556627019
"80-85%",28,0.668347063675412
"80-85%",29,0.393379791886509
"80-85%",30,0.49744156795329
"80-85%",31,0.366329096421617
"80-85%",32,NA
"85-90%",1,0.240074356630891
"85-90%",2,-0.21988058922136
"85-90%",3,0.717260641286369
"85-90%",4,0.549106321422962
"85-90%",5,0.671947605242526
"85-90%",6,0.656557858810419
"85-90%",7,0.665913789555801
"85-90%",8,0.781463437422777
"85-90%",9,0.669021600213106
"85-90%",10,0.720641589128733
"85-90%",11,0.869477806258089
"85-90%",12,0.874441981678951
"85-90%",13,0.776670189555879
"85-90%",14,0.870496909504223
"85-90%",15,0.806067918426506
"85-90%",16,0.595845456786063
