"bin","tree_id","tree_in_bin","prop1","k","rep","mast","coph","preserved_cherries"
"20-25%",1,1,0.21875,13,9,18,0.0162456272565031,0
"20-25%",1,1,0.21875,13,10,19,0.0370602662149141,1
"20-25%",1,1,0.21875,13,11,18,0.0162456272565031,0
"20-25%",1,1,0.21875,13,12,18,0.0162456272565031,0
"20-25%",1,1,0.21875,13,13,19,0.0318525547671052,1
"20-25%",1,1,0.21875,13,14,16,0.0370602662149141,0
"20-25%",1,1,0.21875,13,15,18,0.0162456272565031,0
"20-25%",1,1,0.21875,14,1,18,0.00474806469255558,1
"20-25%",1,1,0.21875,14,2,17,0.0151684451712267,0
"20-25%",1,1,0.21875,14,3,17,0.0151684451712267,1
"20-25%",1,1,0.21875,14,4,15,0.00474806469255558,0
"20-25%",1,1,0.21875,14,5,17,0.0151684451712267,0
"20-25%",1,1,0.21875,14,6,14,0.0151684451712267,0
"20-25%",1,1,0.21875,14,7,19,0.0151684451712267,1
"20-25%",1,1,0.21875,14,8,15,-0.0161786005649723,1
"20-25%",1,1,0.21875,14,9,17,0.00474806469255558,0
"20-25%",1,1,0.21875,14,10,17,0.0151684451712267,0
"20-25%",1,1,0.21875,14,11,20,0.0151684451712267,1
"20-25%",1,1,0.21875,14,12,18,0.0151684451712267,1
"20-25%",1,1,0.21875,14,13,18,-0.0161786005649723,1
"20-25%",1,1,0.21875,14,14,17,0.0151684451712267,0
"20-25%",1,1,0.21875,14,15,17,0.0151684451712267,0
"20-25%",1,1,0.21875,15,1,17,0.00411780735721268,1
"20-25%",1,1,0.21875,15,2,14,-0.00109392612331472,0
"20-25%",1,1,0.21875,15,3,16,0.00411780735721268,0
"20-25%",1,1,0.21875,15,4,14,-0.00109392612331472,0
"20-25%",1,1,0.21875,15,5,17,-0.00109392612331472,1
"20-25%",1,1,0.21875,15,6,16,-0.00109392612331472,0
"20-25%",1,1,0.21875,15,7,15,-0.00109392612331472,0
"20-25%",1,1,0.21875,15,8,20,0.00411780735721268,1
"20-25%",1,1,0.21875,15,9,16,-0.00109392612331472,0
"20-25%",1,1,0.21875,15,10,17,-0.00109392612331472,1
"20-25%",1,1,0.21875,15,11,14,-0.00109392612331472,0
"20-25%",1,1,0.21875,15,12,16,0.00411780735721268,0
"20-25%",1,1,0.21875,15,13,16,0.00411780735721268,0
"20-25%",1,1,0.21875,15,14,14,0.00411780735721268,0
"20-25%",1,1,0.21875,15,15,17,-0.00109392612331472,1
"20-25%",1,1,0.21875,16,1,15,-0.0327289372068621,0
"20-25%",1,1,0.21875,16,2,18,-0.0117333530877051,1
"20-25%",1,1,0.21875,16,3,15,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,4,17,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,5,16,-0.0117333530877051,1
"20-25%",1,1,0.21875,16,6,16,-0.0117333530877051,1
"20-25%",1,1,0.21875,16,7,15,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,8,17,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,9,19,-0.00130290992456985,1
"20-25%",1,1,0.21875,16,10,15,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,11,17,-0.0117333530877051,1
"20-25%",1,1,0.21875,16,12,15,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,13,15,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,14,15,-0.0117333530877051,0
"20-25%",1,1,0.21875,16,15,15,-0.00130290992456985,0
"20-25%",1,1,0.21875,17,1,16,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,2,14,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,3,16,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,4,15,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,5,17,-0.00109392612331472,1
"20-25%",1,1,0.21875,17,6,16,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,7,16,0.00411780735721268,1
"20-25%",1,1,0.21875,17,8,16,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,9,17,-0.0167613614551222,1
"20-25%",1,1,0.21875,17,10,15,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,11,15,-0.00109392612331472,0
"20-25%",1,1,0.21875,17,12,17,-0.0167613614551222,1
"20-25%",1,1,0.21875,17,13,19,0.00411780735721268,1
"20-25%",1,1,0.21875,17,14,14,0.00411780735721268,0
"20-25%",1,1,0.21875,17,15,17,-0.00109392612331472,1
"20-25%",1,1,0.21875,18,1,14,0.0151684451712267,0
"20-25%",1,1,0.21875,18,2,17,0.0151684451712267,0
"20-25%",1,1,0.21875,18,3,14,0.0151684451712267,0
"20-25%",1,1,0.21875,18,4,14,0.00474806469255558,0
"20-25%",1,1,0.21875,18,5,18,0.00474806469255558,1
"20-25%",1,1,0.21875,18,6,17,0.00474806469255558,0
"20-25%",1,1,0.21875,18,7,17,-0.0161786005649723,0
"20-25%",1,1,0.21875,18,8,13,0.00474806469255558,0
"20-25%",1,1,0.21875,18,9,17,-0.0161786005649723,0
"20-25%",1,1,0.21875,18,10,17,0.0151684451712267,0
"20-25%",1,1,0.21875,18,11,14,0.0151684451712267,0
"20-25%",1,1,0.21875,18,12,18,-0.0161786005649723,1
"20-25%",1,1,0.21875,18,13,14,0.0151684451712267,0
"20-25%",1,1,0.21875,18,14,17,0.00474806469255558,0
"20-25%",1,1,0.21875,18,15,18,0.0151684451712267,1
"20-25%",1,1,0.21875,19,1,16,0.0318525547671052,0
"20-25%",1,1,0.21875,19,2,18,0.0318525547671052,0
"20-25%",1,1,0.21875,19,3,18,0.0370602662149141,0
"20-25%",1,1,0.21875,19,4,15,0.0318525547671052,0
"20-25%",1,1,0.21875,19,5,18,0.0162456272565031,0
"20-25%",1,1,0.21875,19,6,18,0.0318525547671052,0
"20-25%",1,1,0.21875,19,7,15,0.0370602662149141,0
"20-25%",1,1,0.21875,19,8,18,0.0370602662149141,0
"20-25%",1,1,0.21875,19,9,18,-0.00994293685268744,0
"20-25%",1,1,0.21875,19,10,18,0.0162456272565031,0
"20-25%",1,1,0.21875,19,11,18,0.0162456272565031,0
"20-25%",1,1,0.21875,19,12,18,0.0370602662149141,0
"20-25%",1,1,0.21875,19,13,18,0.0318525547671052,0
"20-25%",1,1,0.21875,19,14,20,-0.0478445979521253,1
"20-25%",1,1,0.21875,19,15,18,0.0162456272565031,0
"20-25%",1,1,0.21875,20,1,20,0.0645825104586165,1
"20-25%",1,1,0.21875,20,2,19,0.033472409360697,0
"20-25%",1,1,0.21875,20,3,20,0.0541923180333377,1
"20-25%",1,1,0.21875,20,4,19,0.033472409360697,0
"20-25%",1,1,0.21875,20,5,19,0.0645825104586165,0
"20-25%",1,1,0.21875,20,6,20,0.0645825104586165,1
"20-25%",1,1,0.21875,20,7,15,0.0645825104586165,0
"20-25%",1,1,0.21875,20,8,20,0.0541923180333377,1
"20-25%",1,1,0.21875,20,9,19,0.0541923180333377,0
"20-25%",1,1,0.21875,20,10,19,0.0541923180333377,0
"20-25%",1,1,0.21875,20,11,20,0.033472409360697,1
"20-25%",1,1,0.21875,20,12,20,0.00208129985406826,1
"20-25%",1,1,0.21875,20,13,20,0.033472409360697,1
"20-25%",1,1,0.21875,20,14,15,0.0645825104586165,0
"20-25%",1,1,0.21875,20,15,20,0.033472409360697,1
"20-25%",1,1,0.21875,21,1,17,0.102945183930317,0
"20-25%",1,1,0.21875,21,2,21,0.097745516547945,1
"20-25%",1,1,0.21875,21,3,21,0.0822596046797536,1
"20-25%",1,1,0.21875,21,4,20,0.0202010524686751,0
"20-25%",1,1,0.21875,21,5,21,0.0822596046797536,1
"20-25%",1,1,0.21875,21,6,16,0.102945183930317,0
"20-25%",1,1,0.21875,21,7,18,0.102945183930317,1
"20-25%",1,1,0.21875,21,8,20,0.0566032548934037,0
"20-25%",1,1,0.21875,21,9,20,0.102945183930317,0
"20-25%",1,1,0.21875,21,10,21,0.0822596046797536,1
"20-25%",1,1,0.21875,21,11,20,0.0822596046797536,0
"20-25%",1,1,0.21875,21,12,20,0.097745516547945,0
"20-25%",1,1,0.21875,21,13,15,0.102945183930317,0
