"bin","k","rep","mast"
"40-50%",27,15,27
"40-50%",28,1,28
"40-50%",28,2,14
"40-50%",28,3,28
"40-50%",28,4,27
"40-50%",28,5,28
"40-50%",28,6,28
"40-50%",28,7,15
"40-50%",28,8,27
"40-50%",28,9,28
"40-50%",28,10,15
"40-50%",28,11,28
"40-50%",28,12,28
"40-50%",28,13,15
"40-50%",28,14,28
"40-50%",28,15,27
"40-50%",29,1,29
"40-50%",29,2,29
"40-50%",29,3,29
"40-50%",29,4,29
"40-50%",29,5,15
"40-50%",29,6,29
"40-50%",29,7,16
"40-50%",29,8,28
"40-50%",29,9,28
"40-50%",29,10,29
"40-50%",29,11,15
"40-50%",29,12,29
"40-50%",29,13,29
"40-50%",29,14,28
"40-50%",29,15,29
"40-50%",30,1,30
"40-50%",30,2,30
"40-50%",30,3,30
"40-50%",30,4,29
"40-50%",30,5,16
"40-50%",30,6,30
"40-50%",30,7,30
"40-50%",30,8,30
"40-50%",30,9,30
"40-50%",30,10,16
"40-50%",30,11,30
"40-50%",30,12,30
"40-50%",30,13,29
"40-50%",30,14,30
"40-50%",30,15,30
"40-50%",31,1,31
"40-50%",31,2,31
"40-50%",31,3,31
"40-50%",31,4,31
"40-50%",31,5,31
"40-50%",31,6,31
"40-50%",31,7,31
"40-50%",31,8,31
"40-50%",31,9,31
"40-50%",31,10,31
"40-50%",31,11,31
"40-50%",31,12,31
"40-50%",31,13,30
"40-50%",31,14,31
"40-50%",31,15,31
"40-50%",32,1,32
"40-50%",32,2,32
"40-50%",32,3,32
"40-50%",32,4,32
"40-50%",32,5,32
"40-50%",32,6,32
"40-50%",32,7,32
"40-50%",32,8,32
"40-50%",32,9,32
"40-50%",32,10,32
"40-50%",32,11,32
"40-50%",32,12,32
"40-50%",32,13,32
"40-50%",32,14,32
"40-50%",32,15,32
