"bin","k","rep","mast"
"0-10%",24,5,23
"0-10%",24,6,24
"0-10%",24,7,24
"0-10%",24,8,24
"0-10%",24,9,24
"0-10%",24,10,24
"0-10%",24,11,24
"0-10%",24,12,25
"0-10%",24,13,24
"0-10%",24,14,23
"0-10%",24,15,23
"0-10%",25,1,26
"0-10%",25,2,24
"0-10%",25,3,25
"0-10%",25,4,26
"0-10%",25,5,25
"0-10%",25,6,25
"0-10%",25,7,25
"0-10%",25,8,25
"0-10%",25,9,24
"0-10%",25,10,24
"0-10%",25,11,24
"0-10%",25,12,25
"0-10%",25,13,24
"0-10%",25,14,24
"0-10%",25,15,25
"0-10%",26,1,25
"0-10%",26,2,26
"0-10%",26,3,25
"0-10%",26,4,25
"0-10%",26,5,26
"0-10%",26,6,25
"0-10%",26,7,25
"0-10%",26,8,28
"0-10%",26,9,25
"0-10%",26,10,27
"0-10%",26,11,26
"0-10%",26,12,27
"0-10%",26,13,26
"0-10%",26,14,26
"0-10%",26,15,26
"0-10%",27,1,26
"0-10%",27,2,27
"0-10%",27,3,26
"0-10%",27,4,28
"0-10%",27,5,27
"0-10%",27,6,27
"0-10%",27,7,27
"0-10%",27,8,27
"0-10%",27,9,27
"0-10%",27,10,27
"0-10%",27,11,26
"0-10%",27,12,26
"0-10%",27,13,27
"0-10%",27,14,27
"0-10%",27,15,27
"0-10%",28,1,28
"0-10%",28,2,28
"0-10%",28,3,28
"0-10%",28,4,28
"0-10%",28,5,28
"0-10%",28,6,27
"0-10%",28,7,29
"0-10%",28,8,29
"0-10%",28,9,28
"0-10%",28,10,28
"0-10%",28,11,28
"0-10%",28,12,27
"0-10%",28,13,28
"0-10%",28,14,28
"0-10%",28,15,28
"0-10%",29,1,29
"0-10%",29,2,28
"0-10%",29,3,29
"0-10%",29,4,29
"0-10%",29,5,29
"0-10%",29,6,29
"0-10%",29,7,29
"0-10%",29,8,29
"0-10%",29,9,29
"0-10%",29,10,29
"0-10%",29,11,29
"0-10%",29,12,29
"0-10%",29,13,28
"0-10%",29,14,29
"0-10%",29,15,28
"0-10%",30,1,30
"0-10%",30,2,30
"0-10%",30,3,29
"0-10%",30,4,30
"0-10%",30,5,30
"0-10%",30,6,29
"0-10%",30,7,30
"0-10%",30,8,30
"0-10%",30,9,30
"0-10%",30,10,30
"0-10%",30,11,30
"0-10%",30,12,30
"0-10%",30,13,30
"0-10%",30,14,29
"0-10%",30,15,30
"0-10%",31,1,31
"0-10%",31,2,31
"0-10%",31,3,31
"0-10%",31,4,31
"0-10%",31,5,31
"0-10%",31,6,30
"0-10%",31,7,31
"0-10%",31,8,31
"0-10%",31,9,31
"0-10%",31,10,31
"0-10%",31,11,31
"0-10%",31,12,31
"0-10%",31,13,31
"0-10%",31,14,31
"0-10%",31,15,31
"0-10%",32,1,32
"0-10%",32,2,32
"0-10%",32,3,32
"0-10%",32,4,32
"0-10%",32,5,32
"0-10%",32,6,32
"0-10%",32,7,32
"0-10%",32,8,32
"0-10%",32,9,32
"0-10%",32,10,32
"0-10%",32,11,32
"0-10%",32,12,32
"0-10%",32,13,32
"0-10%",32,14,32
"0-10%",32,15,32
"10-20%",1,1,30
"10-20%",1,2,31
"10-20%",1,3,30
"10-20%",1,4,31
"10-20%",1,5,31
"10-20%",1,6,31
"10-20%",1,7,31
"10-20%",1,8,31
"10-20%",1,9,31
"10-20%",1,10,31
"10-20%",1,11,31
"10-20%",1,12,31
"10-20%",1,13,31
"10-20%",1,14,31
"10-20%",1,15,30
"10-20%",2,1,30
"10-20%",2,2,30
"10-20%",2,3,30
"10-20%",2,4,30
"10-20%",2,5,30
"10-20%",2,6,30
"10-20%",2,7,30
"10-20%",2,8,30
"10-20%",2,9,29
"10-20%",2,10,30
"10-20%",2,11,30
"10-20%",2,12,30
"10-20%",2,13,30
"10-20%",2,14,30
"10-20%",2,15,30
"10-20%",3,1,29
"10-20%",3,2,29
"10-20%",3,3,29
"10-20%",3,4,28
"10-20%",3,5,29
"10-20%",3,6,29
"10-20%",3,7,29
"10-20%",3,8,29
"10-20%",3,9,29
"10-20%",3,10,29
"10-20%",3,11,29
"10-20%",3,12,29
"10-20%",3,13,29
"10-20%",3,14,29
"10-20%",3,15,28
"10-20%",4,1,28
"10-20%",4,2,28
"10-20%",4,3,28
"10-20%",4,4,28
"10-20%",4,5,28
"10-20%",4,6,28
"10-20%",4,7,28
"10-20%",4,8,28
"10-20%",4,9,28
"10-20%",4,10,28
"10-20%",4,11,28
"10-20%",4,12,28
"10-20%",4,13,28
"10-20%",4,14,27
"10-20%",4,15,28
"10-20%",5,1,27
"10-20%",5,2,27
"10-20%",5,3,27
"10-20%",5,4,27
"10-20%",5,5,27
"10-20%",5,6,27
"10-20%",5,7,27
"10-20%",5,8,27
"10-20%",5,9,27
"10-20%",5,10,27
"10-20%",5,11,27
"10-20%",5,12,27
"10-20%",5,13,27
"10-20%",5,14,27
"10-20%",5,15,26
"10-20%",6,1,25
"10-20%",6,2,26
"10-20%",6,3,26
"10-20%",6,4,25
"10-20%",6,5,26
"10-20%",6,6,26
"10-20%",6,7,26
"10-20%",6,8,26
"10-20%",6,9,26
"10-20%",6,10,26
"10-20%",6,11,25
"10-20%",6,12,26
"10-20%",6,13,25
"10-20%",6,14,26
"10-20%",6,15,26
"10-20%",7,1,25
"10-20%",7,2,25
"10-20%",7,3,25
"10-20%",7,4,25
"10-20%",7,5,25
"10-20%",7,6,25
"10-20%",7,7,25
"10-20%",7,8,25
"10-20%",7,9,24
"10-20%",7,10,25
"10-20%",7,11,25
"10-20%",7,12,24
"10-20%",7,13,25
"10-20%",7,14,25
"10-20%",7,15,25
"10-20%",8,1,23
"10-20%",8,2,24
"10-20%",8,3,24
"10-20%",8,4,24
"10-20%",8,5,24
"10-20%",8,6,23
"10-20%",8,7,24
"10-20%",8,8,24
"10-20%",8,9,24
"10-20%",8,10,24
"10-20%",8,11,24
"10-20%",8,12,24
"10-20%",8,13,24
"10-20%",8,14,24
"10-20%",8,15,24
"10-20%",9,1,23
"10-20%",9,2,23
"10-20%",9,3,23
"10-20%",9,4,23
"10-20%",9,5,22
"10-20%",9,6,23
"10-20%",9,7,23
"10-20%",9,8,23
"10-20%",9,9,23
"10-20%",9,10,23
"10-20%",9,11,23
"10-20%",9,12,23
"10-20%",9,13,23
"10-20%",9,14,23
"10-20%",9,15,23
"10-20%",10,1,22
"10-20%",10,2,22
"10-20%",10,3,22
