"bin","k","mean_mast","sd_mast","mean_coph","sd_coph"
"25-30%",9,22.2066666666667,NA,0.181766078558746,NA
"25-30%",10,21.01,NA,0.132025862912362,NA
"25-30%",11,19.8233333333333,NA,0.0899944896330024,NA
"25-30%",12,19,NA,0.0552011736726636,NA
"25-30%",13,17.6133333333333,NA,0.0290394176657539,NA
"25-30%",14,17.0966666666667,NA,0.00978613412227637,NA
"25-30%",15,16.5066666666667,NA,-0.00170722157050411,NA
"25-30%",16,16.2633333333333,NA,-0.00512162283700006,NA
"25-30%",17,16.4533333333333,NA,-0.0016555031980337,NA
"25-30%",18,17.1766666666667,NA,0.0097980490063382,NA
"25-30%",19,17.7233333333333,NA,0.0289218261041255,NA
"25-30%",20,18.7066666666667,NA,0.0561651855787922,NA
"25-30%",21,19.7733333333333,NA,0.090452774141116,NA
"25-30%",22,21.0233333333333,NA,0.131524217239045,NA
"25-30%",23,22.2433333333333,NA,0.182078358924311,NA
"25-30%",24,23.4833333333333,NA,0.241204790454694,NA
"25-30%",25,24.5266666666667,NA,0.305264321479675,NA
"25-30%",26,25.8166666666667,NA,0.37992714319249,NA
"25-30%",27,26.8133333333333,NA,0.462466233277036,NA
"25-30%",28,27.83,NA,0.551422251433122,NA
"25-30%",29,28.8566666666667,NA,0.651195296976763,NA
"25-30%",30,29.8833333333333,NA,0.75936128043586,NA
"25-30%",31,30.9633333333333,NA,0.874772693114371,NA
"25-30%",32,32,NA,1,NA
"30-35%",1,30.9566666666667,NA,0.877949319141959,NA
"30-35%",2,29.91,NA,0.763831835906207,NA
"30-35%",3,28.8433333333333,NA,0.657682483921101,NA
"30-35%",4,27.82,NA,0.55964794715674,NA
"30-35%",5,26.7333333333333,NA,0.469281768462873,NA
"30-35%",6,25.2933333333333,NA,0.386707601442351,NA
"30-35%",7,23.7833333333333,NA,0.312825804296479,NA
"30-35%",8,22.7966666666667,NA,0.246457830051759,NA
"30-35%",9,21.5033333333333,NA,0.187175954214052,NA
